01 Sustainablility,01.01 biking,https://bikemaps.org/,bike maps,safer bike mapping,"At BikeMaps we love biking as much as we love maps! Our goal is to map your cycling experience to make biking safer. You know your local cycling trouble spots and we want you to map them. Your knowledge of cycling safety, hazards, and even bike thefts will be analyzed using GIS and statistics to identify hot spots of cycling safety, risk, and crime. We are constantly updating our maps and technology, so send us feedback. And stay tuned for updated safety maps generated from YOUR biking experience."
01 Sustainablility,01.01 biking,https://www.ridethecity.com/,ride the city,bike mapping website,"Here at Ridethecity.com our goal is to make your process of, well, riding your cities (and sometimes a bit beyond them) as comfortable, exciting and safe as possible."
01 Sustainablility,01.01 biking,https://louisville.edu/sustainability/operations/bikeshare,university of louisville,uofl bikeshare program,UofL students and employees can borrow bikes on campus for short or long-term periods from a variety of locations.
01 Sustainablility,01.01 biking,https://vespertinenyc.com/,vespertine,reflective clothing for biking,"Safety and style collide in Vespertine's Haute Réflecture® eco-chic reflective fashion collection, designed to have your back day and night. Our finely tailored designs, made in NYC from sustainable tech and luxury fabrics make you shine on the road and off. In other words, we make safety wear you'll love to wear."
01 Sustainablility,01.01 biking,https://directions.louisville.edu/#/,university of louisville,car-free in lousiville,"Discover all your options for getting around while saving time, money, and pollution."
01 Sustainablility,01.01 biking,https://www.terrybicycles.com/,terry bicycles,clothing for women who ride bicycles,"Get more women riding bicycles—comfortably, safely and beautifully."
01 Sustainablility,01.01 biking,https://louisvilleky.gov/government/bike-louisville,louisville metro,the city of louisville's bike info website,bike louisville home
01 Sustainablility,01.01 biking,https://www.streetsforpeople.org/,streets for people louisville,bike and pedestrian org,Streets for People is a 501(c)(3) nonprofit organization dedicated to making Louisville’s streets safer and better for everyone.
01 Sustainablility,01.01 biking,https://www.bikehacks.com/,bike hacks,"bicycle tips, trick, and resources","Since 2009 Bike Hacks has helped bike enthusiasts around the world find the best bikes, accessories by type of bike or terrain, or bike-related services."
01 Sustainablility,01.01 biking,https://www.bicyclelaw.com/contact/,bicycle law,resource for bicycle lawyers,"Bicycle Law helps all bicyclists. We take on all aspects of the claims process, including paperwork, litigation, settlement negotiations, and (when necessary) trial — so you can focus on your physical and emotional recovery."
01 Sustainablility,01.01 biking,https://www.pps.org/,project for public spaces,org for pedestrians and bicycles,"We bring public spaces to life by planning and designing them with the people who use them every day. Our knowledge, skills, and strategies equip people to fuel lasting change. Together, we create community-powered public spaces around the world."
01 Sustainablility,01.01 biking,https://www.bikemap.net/,bike map,bicycle maps and routes,"Founded in 2014, Bikemap was created by passionate cyclists with the goal of sharing awesome routes with cyclists around the world. Until today, more than 6.7 million users have created over 9.9 million unique cycling routes in 100+ countries worldwide. Today you can find cycle routes in nearly every place."
01 Sustainablility,01.01 biking,https://bikelightdatabase.com/,bike light database,resources and info about bicycle lights,resources and info about bicycle lights
